bundle gzip total: 104768

marginalGzip  minBytes  module
        5405     17404  @tamagui/web::helpers/directStyle.mjs
        3971     11277  @tamagui/web::createComponent.mjs
        3734     10714  @tamagui/web::helpers/getSplitStyles.mjs
        2351      6744  @tamagui/animations-css::createAnimations.mjs
        2339      6722  @tamagui/web::helpers/variables.mjs
        2307      7290  @tamagui/web::helpers/propMapper.mjs
        1648      4340  @tamagui/web::hooks/useThemeState.mjs
        1359      3742  @tamagui/use-element-layout::index.mjs
        1352      3369  @tamagui/web::createTamagui.mjs
        1290      3363  @tamagui/web::helpers/insertStyleRule.mjs
        1141      3030  @tamagui/web::hooks/useMedia.mjs
         922      2669  @tamagui/web::helpers/createDesignSystem.mjs
         897      2457  @tamagui/web::helpers/getCSSStylesAtomic.mjs
         862      3294  @tamagui/helpers::validStyleProps.mjs
         851      2408  @tamagui/web::hooks/useComponentState.mjs
         812      2078  @tamagui/web::helpers/getThemeCSSRules.mjs
         783      1762  @tamagui/style-grammar::valueParser.mjs
         745      2148  @tamagui/web::views/Theme.mjs
         605      2306  @tamagui/web::helpers/expandStyle.mjs
         472      1280  @tamagui/style-grammar::clausePrecedence.mjs
         406      1271  @tamagui/portal::GorhomPortal.mjs
         385      1406  @tamagui/animation-helpers::normalizeTransition.mjs
         383       994  @tamagui/core::runtime.mjs
         363      1579  @tamagui/web::helpers/resolveSafeArea.mjs
         318       690  @tamagui/web::helpers/nativeOnlyProps.mjs
         299       780  @tamagui/web::createVariable.mjs
         295      1074  @tamagui/helpers::webOnlyStyleProps.mjs
         294       802  @tamagui/web::helpers/getVariantExtras.mjs
         270       831  @tamagui/web::helpers/createStyledContext.mjs
         269      1203  @tamagui/style-grammar::states.mjs
         266       960  @tamagui/style-grammar::modifierRegistry.mjs
         261       810  @tamagui/web::views/TamaguiProvider.mjs
         238       647  @tamagui/web::helpers/subscribeToContextGroup.mjs
         211       571  @tamagui/web::hooks/getThemeProxied.mjs
         202       507  @tamagui/simple-hash::index.mjs
         194       484  @tamagui/web::helpers/wrapStyleTags.mjs
         191       924  @tamagui/helpers::tokenCategories.mjs
         187       586  @tamagui/web::views/Slot.mjs
         179       572  @tamagui/web::helpers/defaultAnimationDriver.mjs
         174       462  @tamagui/constants::constants.mjs
         168       421  @tamagui/web::createVariables.mjs
         151       504  @tamagui/web::helpers/registerCSSVariable.mjs
         122       368  @tamagui/web::views/TamaguiRoot.mjs
         117       432  @tamagui/web::insertFont.mjs
         113       354  @tamagui/web::helpers/mediaObjectToString.mjs
         108       391  @tamagui/web::views/ThemeProvider.mjs
         107       293  @tamagui/web::helpers/mergeSlotStyleProps.mjs
         104       342  @tamagui/web::helpers/mergeProps.mjs
         101       304  @tamagui/web::helpers/proxyThemeToParents.mjs
          99       314  @tamagui/web::config.mjs
          96       227  @tamagui/helpers::composeEventHandlers.mjs
          94       360  @tamagui/web::helpers/expandStyles.mjs
          89       254  @tamagui/web::helpers/normalizeStyle.mjs
          88       229  @tamagui/web::helpers/skipProps.mjs
          83       183  @tamagui/use-presence::usePresence.mjs
          82       261  @tamagui/web::helpers/normalizeValueWithProperty.mjs
          72       248  @tamagui/web::eventHandling.mjs
          69       270  @tamagui/web::hooks/useTheme.mjs
