/private/tmp/claude-501/-Users-n8-tamagui/cbcd0f1b-a8c7-4e44-b470-65c32ed5096c/scratchpad/base-bench gzip total: 104768
/private/tmp/claude-501/-Users-n8-tamagui/cbcd0f1b-a8c7-4e44-b470-65c32ed5096c/scratchpad/v2-bench gzip total: 93321

  Δgzip     left    right  module
   5405     5405        0  @tamagui/web::helpers/directStyle.mjs
   2339     2339        0  @tamagui/web::helpers/variables.mjs
   1238     2307     1069  @tamagui/web::helpers/propMapper.mjs
    783      783        0  @tamagui/style-grammar::valueParser.mjs
    758     2351     1593  @tamagui/animations-css::createAnimations.mjs
    472      472        0  @tamagui/style-grammar::clausePrecedence.mjs
    383      383        0  @tamagui/core::runtime.mjs
    363      363        0  @tamagui/web::helpers/resolveSafeArea.mjs
    269      269        0  @tamagui/style-grammar::states.mjs
    266      266        0  @tamagui/style-grammar::modifierRegistry.mjs
    264     1352     1088  @tamagui/web::createTamagui.mjs
    191      191        0  @tamagui/helpers::tokenCategories.mjs
    157     3971     3814  @tamagui/web::createComponent.mjs
    153      745      592  @tamagui/web::views/Theme.mjs
    141     1290     1149  @tamagui/web::helpers/insertStyleRule.mjs
     99      851      752  @tamagui/web::hooks/useComponentState.mjs
     81     1141     1060  @tamagui/web::hooks/useMedia.mjs
     76     1648     1572  @tamagui/web::hooks/useThemeState.mjs
     68       68        0  @tamagui/web::helpers/extractPseudoState.mjs
    -62      104      166  @tamagui/web::helpers/mergeProps.mjs
    -63      605      668  @tamagui/web::helpers/expandStyle.mjs
    -66        0       66  @tamagui/web::helpers/platformResolveValue.mjs
    -79        0       79  @tamagui/web::helpers/isActivePlatform.mjs
   -115      922     1037  @tamagui/web::helpers/createDesignSystem.mjs
   -121     3734     3855  @tamagui/web::helpers/getSplitStyles.mjs
   -133        0      133  @tamagui/web::helpers/getGroupPropParts.mjs
   -182        0      182  @tamagui/web::helpers/pseudoDescriptors.mjs
   -229      862     1091  @tamagui/helpers::validStyleProps.mjs
   -232        0      232  @tamagui/web::helpers/pseudoTransitions.mjs
   -276        0      276  @tamagui/web::helpers/themeable.mjs
   -368        7      375  @tamagui/core::index.mjs
   -518        0      518  @tamagui/web::helpers/getTokenForKey.mjs
   -656        0      656  @tamagui/web::helpers/createMediaStyle.mjs
  10744    42596    31852  TOTAL
